step,susceptible_status,infected_status,filtermeanvirulence_pathogen,susceptible_status_is_minority,infected_status_is_minority,filtermeanvirulence_pathogen_is_minority,susceptible_status_#84_f=is_minority,infected_status_#84_f=is_minority,filtermeanvirulence_pathogen_#84_f=is_minority,ensemble,mutation_rate,virulence_init,total_infected,total_minority_infected,total_majority_infected
1418,3246,0,0.0,1273,0,0.0,1973,0,0.0,1,0.0,1.1,91,40,51
1243,2874,0,0.0,1141,0,0.0,1733,0,0.0,2,0.0,1.3,85,33,52
1268,2790,0,0.0,1097,0,0.0,1693,0,0.0,3,0.0,1.5,165,71,94
2195,4935,0,0.0,1943,0,0.0,2992,0,0.0,4,0.0,1.7,106,42,64
842,2050,0,0.0,840,0,0.0,1210,0,0.0,5,0.0,1.9,50,20,30
5000,5377,1379,0.18681310782052965,2199,531,0.19275939980231607,3178,848,0.1830896631951422,6,0.8,1.1,5126,2026,3100
657,1703,0,0.0,710,0,0.0,993,0,0.0,7,0.8,1.3,47,15,32
5000,10072,48,0.23010894765538228,4053,14,0.2544183689227736,6019,34,0.22009918595704459,8,0.8,1.5,204,76,128
5000,4418,1594,0.16043779429658356,1752,641,0.15578350154669615,2666,953,0.16356833118291916,9,0.8,1.7,6145,2459,3686
5000,6513,1179,0.23923939581291723,2617,472,0.23607072819880992,3896,707,0.24135482878867193,10,0.8,1.9,3847,1585,2262
444,1387,0,0.0,545,0,0.0,842,0,0.0,11,0.0,1.1,16,5,11
817,2083,0,0.0,815,0,0.0,1268,0,0.0,12,0.0,1.3,50,24,26
501,1428,0,0.0,582,0,0.0,846,0,0.0,13,0.0,1.5,55,18,37
1790,3882,0,0.0,1629,0,0.0,2253,0,0.0,14,0.0,1.7,130,42,88
500,1426,0,0.0,575,0,0.0,851,0,0.0,15,0.0,1.9,29,8,21
453,1387,0,0.0,547,0,0.0,840,0,0.0,16,0.8,1.1,32,10,22
5000,5150,1445,0.17795275961675716,2118,586,0.1757601876158011,3032,859,0.17944850722160033,17,0.8,1.3,5484,2227,3257
5000,5069,1504,0.15011607383477565,2081,582,0.1434810146801854,2988,922,0.15430436497140432,18,0.8,1.5,5312,2083,3229
691,1818,0,0.0,712,0,0.0,1106,0,0.0,19,0.8,1.7,35,8,27
5000,8144,770,0.21676157009905242,3258,312,0.23153714484083138,4886,458,0.20669611306971822,20,0.8,1.9,2312,900,1412
721,1813,0,0.0,727,0,0.0,1086,0,0.0,21,0.0,1.1,50,19,31
463,1338,0,0.0,526,0,0.0,812,0,0.0,22,0.0,1.3,25,12,13
1037,2457,0,0.0,1001,0,0.0,1456,0,0.0,23,0.0,1.5,69,29,40
1300,3036,0,0.0,1173,0,0.0,1863,0,0.0,24,0.0,1.7,104,45,59
752,1916,0,0.0,789,0,0.0,1127,0,0.0,25,0.0,1.9,65,23,42
5000,6123,1304,0.17351799088786818,2450,511,0.17328721819557605,3673,793,0.17366669813346886,26,0.8,1.1,4329,1723,2606
1304,3134,0,0.0,1290,0,0.0,1844,0,0.0,27,0.8,1.3,49,19,30
5000,9979,107,0.17359036413674883,3961,43,0.15955930246405337,6018,64,0.18301748369809107,28,0.8,1.5,354,131,223
535,1561,0,0.0,616,0,0.0,945,0,0.0,29,0.8,1.7,41,18,23
1433,3359,0,0.0,1401,0,0.0,1958,0,0.0,30,0.8,1.9,48,20,28
945,2314,0,0.0,943,0,0.0,1371,0,0.0,31,0.0,1.1,78,35,43
962,2353,0,0.0,887,0,0.0,1466,0,0.0,32,0.0,1.3,66,28,38
668,1721,0,0.0,676,0,0.0,1045,0,0.0,33,0.0,1.5,72,27,45
1690,3647,0,0.0,1478,0,0.0,2169,0,0.0,34,0.0,1.7,125,53,72
791,2021,0,0.0,792,0,0.0,1229,0,0.0,35,0.0,1.9,72,27,45
300,1066,0,0.0,441,0,0.0,625,0,0.0,36,0.8,1.1,10,2,8
5000,9444,396,0.19579401549823086,3687,145,0.20615968635168863,5757,251,0.1898058789494208,37,0.8,1.3,957,379,578
1001,2326,0,0.0,915,0,0.0,1411,0,0.0,38,0.8,1.5,56,21,35
315,1081,0,0.0,457,0,0.0,624,0,0.0,39,0.8,1.7,14,6,8
5000,8175,721,0.20654114002609647,3308,288,0.21098861700638202,4867,433,0.20358300291218812,40,0.8,1.9,2270,932,1338
584,1676,0,0.0,685,0,0.0,991,0,0.0,41,0.0,1.1,21,10,11
672,1806,0,0.0,724,0,0.0,1082,0,0.0,42,0.0,1.3,31,13,18
833,2098,0,0.0,844,0,0.0,1254,0,0.0,43,0.0,1.5,31,12,19
665,1741,0,0.0,735,0,0.0,1006,0,0.0,44,0.0,1.7,29,8,21
785,1952,0,0.0,777,0,0.0,1175,0,0.0,45,0.0,1.9,51,17,34
2038,4447,0,0.0,1808,0,0.0,2639,0,0.0,46,0.8,1.1,104,41,63
5000,10118,136,0.1642314787708809,4020,59,0.16000641422299855,6098,77,0.16746886589198556,47,0.8,1.3,552,231,321
5000,9273,425,0.22007786116121988,3784,165,0.2076170800964677,5489,260,0.2279856645292358,48,0.8,1.5,1376,552,824
1102,2752,0,0.0,1082,0,0.0,1670,0,0.0,49,0.8,1.7,37,16,21
5000,5157,1696,0.16590605471068548,2122,669,0.16637930497651968,3035,1027,0.16559777386565794,50,0.8,1.9,5349,2173,3176
2033,4436,0,0.0,1712,0,0.0,2724,0,0.0,51,0.0,1.1,113,35,78
693,1836,0,0.0,761,0,0.0,1075,0,0.0,52,0.0,1.3,48,20,28
390,1189,0,0.0,497,0,0.0,692,0,0.0,53,0.0,1.5,19,8,11
1181,2804,0,0.0,1126,0,0.0,1678,0,0.0,54,0.0,1.7,108,39,69
523,1535,0,0.0,589,0,0.0,946,0,0.0,55,0.0,1.9,24,11,13
713,1831,0,0.0,744,0,0.0,1087,0,0.0,56,0.8,1.1,46,23,23
5000,9168,420,0.22147883703470939,3718,168,0.21696280535589613,5450,252,0.22448952482058482,57,0.8,1.3,1293,520,773
5000,9025,457,0.208747726569701,3587,183,0.22224640100176454,5438,274,0.19973218853660754,58,0.8,1.5,1468,582,886
2050,4432,0,0.0,1730,0,0.0,2702,0,0.0,59,0.8,1.7,56,20,36
767,1970,0,0.0,774,0,0.0,1196,0,0.0,60,0.8,1.9,32,10,22
1077,2537,0,0.0,997,0,0.0,1540,0,0.0,61,0.0,1.1,103,41,62
570,1561,0,0.0,600,0,0.0,961,0,0.0,62,0.0,1.3,47,29,18
965,2306,0,0.0,882,0,0.0,1424,0,0.0,63,0.0,1.5,63,26,37
1256,2914,0,0.0,1140,0,0.0,1774,0,0.0,64,0.0,1.7,89,32,57
1350,3081,0,0.0,1285,0,0.0,1796,0,0.0,65,0.0,1.9,151,66,85
875,2197,0,0.0,883,0,0.0,1314,0,0.0,66,0.8,1.1,37,14,23
5000,8432,600,0.15301137602494266,3397,238,0.13582071295739845,5035,362,0.16431352467156024,67,0.8,1.3,1930,778,1152
750,1912,0,0.0,743,0,0.0,1169,0,0.0,68,0.8,1.5,37,13,24
5000,9229,436,0.18837937743612054,3735,174,0.19376495027230886,5494,262,0.1848026992930031,69,0.8,1.7,1215,509,706
5000,5544,1472,0.1588676785066142,2218,575,0.15556787418509424,3326,897,0.16098293768707567,70,0.8,1.9,4911,1940,2971
652,1666,0,0.0,668,0,0.0,998,0,0.0,71,0.0,1.1,59,23,36
919,2266,0,0.0,919,0,0.0,1347,0,0.0,72,0.0,1.3,55,24,31
709,1910,0,0.0,774,0,0.0,1136,0,0.0,73,0.0,1.5,43,18,25
774,1925,0,0.0,783,0,0.0,1142,0,0.0,74,0.0,1.7,64,23,41
457,1324,0,0.0,530,0,0.0,794,0,0.0,75,0.0,1.9,30,13,17
5000,9850,241,0.2693805247901591,3930,102,0.23618611028724393,5920,139,0.29373901600812574,76,0.8,1.1,773,315,458
5000,10097,90,0.16984015735474853,4013,39,0.15257277680160558,6084,51,0.1830446248365637,77,0.8,1.3,440,183,257
5000,8746,445,0.18215096784707024,3554,172,0.18104673476226626,5192,273,0.18284667513859504,78,0.8,1.5,1734,671,1063
5000,10359,52,0.10181366560754558,4155,21,0.1547970441528973,6204,31,0.06592169949617835,79,0.8,1.7,172,64,108
5000,7546,920,0.19202230993757732,3015,366,0.1990075159818689,4531,554,0.18740753482528352,80,0.8,1.9,3046,1234,1812
2033,4458,0,0.0,1769,0,0.0,2689,0,0.0,81,0.0,1.1,110,47,63
1061,2549,0,0.0,1054,0,0.0,1495,0,0.0,82,0.0,1.3,26,7,19
1033,2487,0,0.0,994,0,0.0,1493,0,0.0,83,0.0,1.5,52,21,31
883,2187,0,0.0,863,0,0.0,1324,0,0.0,84,0.0,1.7,96,44,52
550,1525,0,0.0,599,0,0.0,926,0,0.0,85,0.0,1.9,24,8,16
