step,susceptible_status,infected_status,filtermeanvirulence_pathogen,susceptible_status_is_minority,infected_status_is_minority,filtermeanvirulence_pathogen_is_minority,susceptible_status_#84_f=is_minority,infected_status_#84_f=is_minority,filtermeanvirulence_pathogen_#84_f=is_minority,ensemble,mutation_rate,virulence_init,total_infected,total_minority_infected,total_majority_infected
5000,2684,3106,0.09999999999999994,1093,1286,0.10000000000000003,1591,1820,0.09999999999999984,1,0.0,0.1,7754,3156,4598
5000,1006,682,0.3000000000000003,366,268,0.2999999999999998,640,414,0.2999999999999998,2,0.0,0.3,9511,3814,5697
5000,3123,674,0.5,1212,249,0.5,1911,425,0.5,3,0.0,0.5,7428,2876,4552
5000,9894,39,0.6999999999999998,4007,14,0.7,5887,25,0.6999999999999998,4,0.0,0.7,628,237,391
1293,2974,0,0.0,1205,0,0.0,1769,0,0.0,5,0.0,0.9,69,21,48
5000,3728,1693,0.14092726566520905,1514,668,0.13590100996484133,2214,1025,0.14420291328261944,6,0.8,0.1,6604,2628,3976
5000,4404,1676,0.1560589453622651,1774,675,0.15551503210782522,2630,1001,0.15642572003434005,7,0.8,0.3,6222,2530,3692
5000,3955,1750,0.1498878336110553,1588,724,0.15091048780233132,2367,1026,0.14916619459109043,8,0.8,0.5,6577,2687,3890
1142,2680,0,0.0,1102,0,0.0,1578,0,0.0,9,0.8,0.7,98,35,63
5000,10026,124,0.20806701961858434,4075,48,0.17605197846030476,5951,76,0.22828704561328722,10,0.8,0.9,495,198,297
5000,1785,2779,0.09999999999999999,697,1068,0.10000000000000006,1088,1711,0.09999999999999991,11,0.0,0.1,8695,3449,5246
5000,983,639,0.3000000000000004,369,250,0.2999999999999999,614,389,0.2999999999999999,12,0.0,0.3,9409,3826,5583
5000,2879,704,0.5,1127,279,0.5,1752,425,0.5,13,0.0,0.5,7610,3106,4504
3284,6856,0,0.0,2682,0,0.0,4174,0,0.0,14,0.0,0.7,292,115,177
1599,3633,0,0.0,1424,0,0.0,2209,0,0.0,15,0.0,0.9,100,48,52
5000,3146,1910,0.13576869764917665,1248,748,0.13599091811080555,1898,1162,0.13562565039848948,16,0.8,0.1,7375,2901,4474
5000,3038,1801,0.13804804118975267,1197,738,0.14314299583139667,1841,1063,0.13451081021559155,17,0.8,0.3,7451,2990,4461
5000,4570,1720,0.16517501570166512,1785,727,0.1640402754679012,2785,993,0.16600578725246712,18,0.8,0.5,5602,2263,3339
5000,8582,529,0.22583209700060192,3428,225,0.22472748214328145,5154,304,0.2266496573390792,19,0.8,0.7,1935,768,1167
671,1771,0,0.0,715,0,0.0,1056,0,0.0,20,0.8,0.9,54,27,27
5000,1759,2743,0.09999999999999994,641,1103,0.10000000000000006,1118,1640,0.09999999999999995,21,0.0,0.1,8638,3497,5141
5000,937,650,0.3000000000000003,361,252,0.2999999999999999,576,398,0.2999999999999998,22,0.0,0.3,9486,3828,5658
5000,3066,754,0.5,1246,297,0.5,1820,457,0.5,23,0.0,0.5,7357,2955,4402
3610,7552,0,0.0,3018,0,0.0,4534,0,0.0,24,0.0,0.7,241,93,148
1066,2541,0,0.0,1030,0,0.0,1511,0,0.0,25,0.0,0.9,86,33,53
5000,2573,1873,0.1336621466763592,1060,770,0.1266446131793486,1513,1103,0.13856105945305744,26,0.8,0.1,8035,3205,4830
5000,2216,1666,0.12635399968768812,905,677,0.12329800355713882,1311,989,0.12844592019363543,27,0.8,0.3,8155,3274,4881
5000,3724,1736,0.13824635616336145,1482,709,0.13717944455633335,2242,1027,0.13898290955127077,28,0.8,0.5,6672,2687,3985
5000,4302,1681,0.16259946203623116,1691,643,0.1655237717791005,2611,1038,0.16078796765794115,29,0.8,0.7,6046,2455,3591
1029,2455,0,0.0,987,0,0.0,1468,0,0.0,30,0.8,0.9,81,36,45
5000,1904,3030,0.09999999999999996,750,1244,0.10000000000000007,1154,1786,0.09999999999999987,31,0.0,0.1,8586,3479,5107
5000,963,689,0.30000000000000043,377,276,0.29999999999999993,586,413,0.2999999999999998,32,0.0,0.3,9522,3895,5627
5000,1570,556,0.5,616,228,0.5,954,328,0.5,33,0.0,0.5,8859,3571,5288
2155,4605,0,0.0,1893,0,0.0,2712,0,0.0,34,0.0,0.7,191,74,117
1644,3427,0,0.0,1360,0,0.0,2067,0,0.0,35,0.0,0.9,199,88,111
5000,2736,1961,0.13049031574515854,1086,770,0.1283887507880288,1650,1191,0.131849010133899,36,0.8,0.1,7819,3146,4673
5000,2106,1764,0.11307732115524238,832,726,0.11251093228907398,1274,1038,0.11347346596915206,37,0.8,0.3,8359,3357,5002
5000,3712,1793,0.16040828763852308,1430,697,0.15545249677165277,2282,1096,0.16355991741426062,38,0.8,0.5,6596,2655,3941
