step,susceptible_status,infected_status,filtermeanvirulence_pathogen,susceptible_status_is_minority,infected_status_is_minority,filtermeanvirulence_pathogen_is_minority,susceptible_status_#84_f=is_minority,infected_status_#84_f=is_minority,filtermeanvirulence_pathogen_#84_f=is_minority,ensemble,mutation_rate,virulence_init,total_infected,total_minority_infected,total_majority_infected
5000,9181,38,0.6999999999999998,912,5,0.7,8269,33,0.6999999999999997,54,0.0,0.7,1298,147,1151
1076,2508,0,0.0,266,0,0.0,2242,0,0.0,55,0.0,0.9,73,3,70
5000,3035,1841,0.13088163156759508,265,225,0.13128568709160346,2770,1616,0.13082537383683898,56,0.8,0.1,7188,754,6434
5000,3130,1742,0.13570336344332212,324,174,0.14941141585784856,2806,1568,0.13418218925956726,57,0.8,0.3,7285,715,6570
5000,4763,1647,0.16527214225006076,506,170,0.16032912960387272,4257,1477,0.16584107396966266,58,0.8,0.5,5744,558,5186
5000,5151,1380,0.17930443390838754,509,140,0.17423263997675345,4642,1240,0.17987705580389457,59,0.8,0.7,5341,524,4817
5000,6983,1154,0.20782565879219994,676,123,0.19310515481988028,6307,1031,0.20958183918850967,60,0.8,0.9,3530,366,3164
5000,3879,3045,0.09999999999999992,382,295,0.10000000000000005,3497,2750,0.09999999999999992,61,0.0,0.1,6611,685,5926
5000,953,626,0.30000000000000016,104,61,0.30000000000000004,849,565,0.30000000000000016,62,0.0,0.3,9585,922,8663
5000,1643,486,0.5,162,57,0.5,1481,429,0.5,63,0.0,0.5,8881,892,7989
5000,9820,11,0.7000000000000001,1037,0,0.0,8783,11,0.7000000000000001,64,0.0,0.7,663,70,593
683,1802,0,0.0,184,0,0.0,1618,0,0.0,65,0.0,0.9,39,1,38
5000,3520,1797,0.1283337143106572,377,186,0.1460185126810633,3143,1611,0.12629189401463267,66,0.8,0.1,6853,676,6177
5000,4301,1732,0.1931409577217205,353,188,0.2060083253198927,3948,1544,0.19157420570847145,67,0.8,0.3,6289,641,5648
5000,2993,1709,0.1331076009108761,304,168,0.1173999416205023,2689,1541,0.1348200517614814,68,0.8,0.5,7527,751,6776
5000,3986,1615,0.15717604623698433,428,151,0.17101967539636573,3558,1464,0.15574818557915193,69,0.8,0.7,6698,638,6060
5000,7279,1083,0.1616568436921882,739,119,0.17381687231114812,6540,964,0.1601557613211755,70,0.8,0.9,3121,335,2786
5000,1900,2919,0.09999999999999995,214,242,0.1,1686,2677,0.09999999999999994,71,0.0,0.1,8570,822,7748
5000,953,622,0.3000000000000004,98,56,0.3,855,566,0.30000000000000016,72,0.0,0.3,9456,976,8480
5000,1384,473,0.5,128,58,0.5,1256,415,0.5,73,0.0,0.5,9025,905,8120
2462,5082,0,0.0,531,0,0.0,4551,0,0.0,74,0.0,0.7,325,22,303
3023,6069,0,0.0,581,0,0.0,5488,0,0.0,75,0.0,0.9,556,54,502
5000,2557,1941,0.12565658766416826,248,233,0.14839766424321107,2309,1708,0.1225543213626946,76,0.8,0.1,7841,803,7038
5000,2445,1819,0.125514524043874,248,205,0.11976383663313848,2197,1614,0.12624493973111117,77,0.8,0.3,8053,857,7196
5000,2940,1771,0.12711066207506833,269,184,0.14055952105464672,2671,1587,0.12555137407743608,78,0.8,0.5,7455,750,6705
5000,4761,1487,0.18760177735771313,482,127,0.16594797662094699,4279,1360,0.1896238602206317,79,0.8,0.7,5557,553,5004
5000,4550,1699,0.16767628532636777,434,159,0.15509380135971484,4116,1540,0.16897538594370404,80,0.8,0.9,6059,627,5432
5000,1895,3031,0.09999999999999996,178,337,0.10000000000000007,1717,2694,0.09999999999999996,81,0.0,0.1,8590,837,7753
5000,913,642,0.30000000000000016,71,69,0.3,842,573,0.3000000000000003,82,0.0,0.3,9534,912,8622
5000,1736,467,0.5,207,49,0.5,1529,418,0.5,83,0.0,0.5,8654,874,7780
1829,3961,0,0.0,383,0,0.0,3578,0,0.0,84,0.0,0.7,106,8,98
1047,2502,0,0.0,247,0,0.0,2255,0,0.0,85,0.0,0.9,106,5,101
5000,2295,1923,0.11666874053785985,257,189,0.1360156726912152,2038,1734,0.11455999187754605,86,0.8,0.1,8146,781,7365
5000,3910,1726,0.14719157792733414,383,177,0.12649772198782044,3527,1549,0.14955620833488348,87,0.8,0.3,6490,684,5806
5000,2836,1798,0.13773457037170184,295,163,0.15687211732997228,2541,1635,0.13582666813671831,88,0.8,0.5,7429,694,6735
5000,3958,1553,0.1536644058489896,316,158,0.17900935563010673,3642,1395,0.15079379504940787,89,0.8,0.7,6601,707,5894
5000,10180,23,0.12632770038266614,1000,5,0.2089830116706691,9180,18,0.10336789169155422,90,0.8,0.9,221,23,198
5000,1639,2743,0.09999999999999994,124,274,0.10000000000000002,1515,2469,0.10000000000000006,91,0.0,0.1,8895,860,8035
5000,1001,653,0.3000000000000004,83,71,0.3,918,582,0.3000000000000002,92,0.0,0.3,9578,980,8598
5000,1837,472,0.5,219,50,0.5,1618,422,0.5,93,0.0,0.5,8675,893,7782
1050,2522,0,0.0,247,0,0.0,2275,0,0.0,94,0.0,0.7,60,5,55
1277,2889,0,0.0,268,0,0.0,2621,0,0.0,95,0.0,0.9,128,11,117
5000,3422,1868,0.13011851012580844,349,212,0.12187296068558652,3073,1656,0.13117409978844558,96,0.8,0.1,7124,757,6367
5000,2758,1711,0.1459167944687321,276,189,0.12336116853679135,2482,1522,0.14871772305029368,97,0.8,0.3,7543,764,6779
5000,5185,1428,0.1759846715116111,520,111,0.1880298853969383,4665,1317,0.1749694712524833,98,0.8,0.5,5144,494,4650
5000,9815,186,0.1519151889441461,980,17,0.1950135720040642,8835,169,0.14757984863634369,99,0.8,0.7,734,61,673
5000,8611,659,0.19347378874134757,900,57,0.16995684830225594,7711,602,0.1957004757928895,100,0.8,0.9,1869,175,1694
5000,1744,2677,0.09999999999999994,189,293,0.10000000000000003,1555,2384,0.10000000000000006,101,0.0,0.1,8835,916,7919
5000,992,658,0.3000000000000002,105,76,0.30000000000000004,887,582,0.3000000000000002,102,0.0,0.3,9494,947,8547
5000,1853,523,0.5,195,61,0.5,1658,462,0.5,103,0.0,0.5,8584,878,7706
5000,8590,80,0.7000000000000005,792,7,0.7000000000000001,7798,73,0.7000000000000003,104,0.0,0.7,2049,236,1813
3349,6836,0,0.0,647,0,0.0,6189,0,0.0,105,0.0,0.9,314,47,267
