step,susceptible_status,infected_status,filtermeanvirulence_pathogen,susceptible_status_is_minority,infected_status_is_minority,filtermeanvirulence_pathogen_is_minority,susceptible_status_#84_f=is_minority,infected_status_#84_f=is_minority,filtermeanvirulence_pathogen_#84_f=is_minority,ensemble,mutation_rate,virulence_init,total_infected,total_minority_infected,total_majority_infected
5000,3450,3138,0.09999999999999988,372,311,0.10000000000000005,3078,2827,0.10000000000000002,1,0.0,0.1,6992,671,6321
5000,836,699,0.3000000000000003,65,79,0.3000000000000001,771,620,0.3000000000000003,2,0.0,0.3,9707,941,8766
5000,1350,485,0.5,113,34,0.5,1237,451,0.5,3,0.0,0.5,9382,927,8455
5000,9088,38,0.6999999999999998,867,4,0.7,8221,34,0.7,4,0.0,0.7,1104,110,994
586,1599,0,0.0,158,0,0.0,1441,0,0.0,5,0.0,0.9,54,8,46
5000,2771,2000,0.12307616732747678,282,214,0.1097963299284023,2489,1786,0.12466736844920238,6,0.8,0.1,7728,786,6942
5000,2617,1916,0.12948774787701936,222,187,0.13067166779100428,2395,1729,0.1293597010152986,7,0.8,0.3,7824,849,6975
5000,8741,456,0.18305018915052926,905,24,0.1149283592667737,7836,432,0.18683473525518235,8,0.8,0.5,1844,131,1713
5000,2816,1800,0.13633188783259245,274,168,0.12259405296147265,2542,1632,0.13774607671638417,9,0.8,0.7,7542,737,6805
5000,4979,1609,0.16775734189635513,484,180,0.18617469357619645,4495,1429,0.16543745155179845,10,0.8,0.9,5301,536,4765
5000,2106,3069,0.09999999999999988,225,320,0.10000000000000009,1881,2749,0.09999999999999991,11,0.0,0.1,8436,841,7595
5000,919,678,0.30000000000000027,88,62,0.3000000000000001,831,616,0.30000000000000027,12,0.0,0.3,9480,938,8542
5000,1409,527,0.5,112,56,0.5,1297,471,0.5,13,0.0,0.5,9056,965,8091
1727,3666,0,0.0,334,0,0.0,3332,0,0.0,14,0.0,0.7,157,13,144
1621,3599,0,0.0,369,0,0.0,3230,0,0.0,15,0.0,0.9,173,15,158
5000,3267,2000,0.1278220867272915,337,184,0.1472148631897145,2930,1816,0.12585717986105482,16,0.8,0.1,7299,713,6586
5000,3635,2082,0.14767409726151254,327,242,0.13645336448017215,3308,1840,0.14914986755123233,17,0.8,0.3,6981,792,6189
5000,4246,1702,0.17859208661009707,467,169,0.20601655856044224,3779,1533,0.17556877561230944,18,0.8,0.5,6304,612,5692
5000,9174,423,0.229823843857688,911,39,0.2971065356546298,8263,384,0.22299044547206118,19,0.8,0.7,1294,118,1176
3526,7196,0,0.0,714,0,0.0,6482,0,0.0,20,0.8,0.9,320,29,291
5000,1604,2853,0.09999999999999995,150,280,0.10000000000000005,1454,2573,0.10000000000000003,21,0.0,0.1,8803,864,7939
5000,1135,1204,0.3000000000000003,108,127,0.2999999999999997,1027,1077,0.3000000000000002,22,0.0,0.3,9272,983,8289
5000,1274,555,0.5,121,60,0.5,1153,495,0.5,23,0.0,0.5,9089,917,8172
5000,9126,68,0.7000000000000002,911,2,0.7,8215,66,0.7000000000000001,24,0.0,0.7,1275,135,1140
1800,3921,0,0.0,411,0,0.0,3510,0,0.0,25,0.0,0.9,166,10,156
5000,2210,1918,0.1219647528449076,197,188,0.12752539377388583,2013,1730,0.12136047510233657,26,0.8,0.1,8230,827,7403
5000,2699,1930,0.12677412159403864,264,195,0.11764934378657471,2435,1735,0.12779967299026657,27,0.8,0.3,7967,816,7151
5000,4348,1777,0.14232821219702005,437,162,0.134739495533248,3911,1615,0.1430894333112807,28,0.8,0.5,6183,587,5596
5000,4322,1964,0.17187383077727728,377,222,0.16206503100330613,3945,1742,0.17312386151770298,29,0.8,0.7,6194,692,5502
5000,8997,408,0.21741387930287828,912,36,0.23296747200260765,8085,372,0.2159086929125819,30,0.8,0.9,1495,151,1344
5000,1485,2492,0.10000000000000007,114,233,0.10000000000000005,1371,2259,0.10000000000000006,31,0.0,0.1,9171,897,8274
5000,902,618,0.30000000000000027,111,54,0.3,791,564,0.30000000000000016,32,0.0,0.3,9525,985,8540
5000,2292,455,0.5,282,48,0.5,2010,407,0.5,33,0.0,0.5,8241,821,7420
871,2262,0,0.0,234,0,0.0,2028,0,0.0,34,0.0,0.7,33,1,32
1993,4201,0,0.0,475,0,0.0,3726,0,0.0,35,0.0,0.9,229,24,205
5000,2514,1935,0.12760494380678788,224,179,0.1246108753761528,2290,1756,0.12791014782107243,36,0.8,0.1,8105,844,7261
5000,2814,1772,0.12935009602190028,296,153,0.13105852956492303,2518,1619,0.1291886443035047,37,0.8,0.3,7615,686,6929
5000,5774,1265,0.17962300533149106,625,111,0.18770997363713554,5149,1154,0.1788451426955062,38,0.8,0.5,4609,418,4191
1511,3447,0,0.0,329,0,0.0,3118,0,0.0,39,0.8,0.7,59,0,59
5000,8606,630,0.22016510325572636,799,74,0.20831871700439913,7807,556,0.2217417805625576,40,0.8,0.9,1808,191,1617
5000,1412,2620,0.09999999999999994,134,248,0.10000000000000005,1278,2372,0.10000000000000007,41,0.0,0.1,9020,883,8137
5000,944,715,0.3000000000000004,115,75,0.30000000000000004,829,640,0.3000000000000004,42,0.0,0.3,9576,1000,8576
5000,3912,723,0.5,375,105,0.5,3537,618,0.5,43,0.0,0.5,6692,707,5985
3113,6083,0,0.0,592,0,0.0,5491,0,0.0,44,0.0,0.7,642,54,588
2125,4559,0,0.0,464,0,0.0,4095,0,0.0,45,0.0,0.9,218,26,192
5000,2598,1813,0.12468332829895744,248,164,0.11126937981565521,2350,1649,0.1260174020110627,46,0.8,0.1,7941,760,7181
5000,2641,1523,0.13773930023876046,250,135,0.1513046223443206,2391,1388,0.13641990651811886,47,0.8,0.3,7837,747,7090
