step,susceptible_status,infected_status,filtermeanvirulence_pathogen,susceptible_status_is_minority,infected_status_is_minority,filtermeanvirulence_pathogen_is_minority,susceptible_status_#84_f=is_minority,infected_status_#84_f=is_minority,filtermeanvirulence_pathogen_#84_f=is_minority,ensemble,mutation_rate,virulence_init,total_infected,total_minority_infected,total_majority_infected
5000,2541,2925,0.09999999999999992,249,292,0.10000000000000003,2292,2633,0.10000000000000002,1,0.0,0.1,7855,772,7083
5000,803,718,0.3000000000000004,62,75,0.30000000000000004,741,643,0.3000000000000002,2,0.0,0.3,9558,960,8598
5000,1506,418,0.5,131,50,0.5,1375,368,0.5,3,0.0,0.5,8936,871,8065
1532,3575,0,0.0,374,0,0.0,3201,0,0.0,4,0.0,0.7,55,2,53
1226,2890,0,0.0,280,0,0.0,2610,0,0.0,5,0.0,0.9,86,6,80
5000,2191,1761,0.11808956842368551,199,179,0.11913220177333671,1992,1582,0.11797159663507138,6,0.8,0.1,8248,840,7408
5000,2458,1806,0.11581896445409018,243,193,0.11905641250363143,2215,1613,0.11543159466266954,7,0.8,0.3,8118,793,7325
5000,5041,1542,0.16521806552038318,500,164,0.1571569905268997,4541,1378,0.16617743874166857,8,0.8,0.5,5376,533,4843
5000,2346,1648,0.12729346511520764,249,173,0.12295204678986031,2097,1475,0.1278026619764179,9,0.8,0.7,7933,790,7143
681,1825,0,0.0,203,0,0.0,1622,0,0.0,10,0.8,0.9,39,3,36
5000,3354,3108,0.09999999999999994,343,286,0.10000000000000007,3011,2822,0.09999999999999995,11,0.0,0.1,7129,681,6448
5000,844,638,0.3000000000000004,79,67,0.3,765,571,0.30000000000000027,12,0.0,0.3,9440,910,8530
5000,1651,615,0.5,173,55,0.5,1478,560,0.5,13,0.0,0.5,8776,843,7933
5000,9885,20,0.7,1037,2,0.7,8848,18,0.7,14,0.0,0.7,676,52,624
541,1478,0,0.0,135,0,0.0,1343,0,0.0,15,0.0,0.9,34,1,33
5000,3138,1773,0.13375907799005232,322,167,0.12850654122646268,2816,1606,0.13430526331976556,16,0.8,0.1,7287,747,6540
5000,2986,1832,0.12610578741749381,266,199,0.138461903155717,2720,1633,0.12460005132936988,17,0.8,0.3,7552,767,6785
5000,7157,1033,0.20742259243733632,713,97,0.21612588263814903,6444,936,0.20652064890156846,18,0.8,0.5,3167,321,2846
5000,7813,899,0.21972154608498523,794,107,0.21109775991052845,7019,792,0.22088662830804948,19,0.8,0.7,2751,301,2450
5000,8586,613,0.19254549648041194,836,64,0.1989493025702224,7750,549,0.1917989689945324,20,0.8,0.9,1870,178,1692
5000,2192,3017,0.09999999999999998,214,274,0.10000000000000002,1978,2743,0.09999999999999994,21,0.0,0.1,8319,785,7534
5000,891,741,0.30000000000000027,78,68,0.3,813,673,0.3000000000000005,22,0.0,0.3,9624,974,8650
5000,1710,711,0.5,172,79,0.5,1538,632,0.5,23,0.0,0.5,8817,884,7933
4984,9476,0,0.0,998,0,0.0,8478,0,0.0,24,0.0,0.7,985,84,901
950,2263,0,0.0,227,0,0.0,2036,0,0.0,25,0.0,0.9,70,3,67
5000,2994,1983,0.12583296554454193,288,203,0.121062147294407,2706,1780,0.12637705324385506,26,0.8,0.1,7559,773,6786
5000,1911,1571,0.11469742329499005,187,150,0.10417060765951298,1724,1421,0.11580862832336555,27,0.8,0.3,8414,841,7573
5000,6021,1228,0.1758410643530461,575,122,0.1586319481471573,5446,1106,0.17773935746074815,28,0.8,0.5,4543,412,4131
5000,10095,216,0.19560475190520218,1028,22,0.17845513396944057,9067,194,0.19754955393915455,29,0.8,0.7,562,63,499
5000,4368,1570,0.15233539781046937,484,137,0.15696752295828043,3884,1433,0.15189254983751047,30,0.8,0.9,6129,624,5505
5000,1993,2957,0.09999999999999998,191,287,0.10000000000000009,1802,2670,0.09999999999999996,31,0.0,0.1,8521,850,7671
5000,961,705,0.30000000000000043,85,69,0.3,876,636,0.3000000000000003,32,0.0,0.3,9605,971,8634
5000,1386,479,0.5,127,46,0.5,1259,433,0.5,33,0.0,0.5,8988,898,8090
2908,6151,0,0.0,617,0,0.0,5534,0,0.0,34,0.0,0.7,88,3,85
535,1448,0,0.0,163,0,0.0,1285,0,0.0,35,0.0,0.9,51,3,48
5000,2989,1931,0.1356149752166079,278,206,0.11703664215099457,2711,1725,0.1378336051363275,36,0.8,0.1,7357,784,6573
5000,2571,1792,0.1212633745424797,259,163,0.11873724718356496,2312,1629,0.12151614235064614,37,0.8,0.3,7968,760,7208
5000,7671,939,0.1809400504301607,762,102,0.16856002694633374,6909,837,0.18244872712711446,38,0.8,0.5,2778,282,2496
5000,10148,38,0.15117678477272428,1070,5,0.23964859730075144,9078,33,0.13777196469272018,39,0.8,0.7,415,41,374
5000,7120,889,0.2282121833683911,733,91,0.21383142864367685,6387,798,0.22985209399489354,40,0.8,0.9,3320,347,2973
5000,1654,2748,0.09999999999999992,169,280,0.10000000000000005,1485,2468,0.10000000000000006,41,0.0,0.1,8679,907,7772
5000,885,694,0.30000000000000027,76,81,0.3000000000000001,809,613,0.3000000000000002,42,0.0,0.3,9514,943,8571
5000,3415,808,0.5,344,76,0.5,3071,732,0.5,43,0.0,0.5,7162,737,6425
2542,5346,0,0.0,548,0,0.0,4798,0,0.0,44,0.0,0.7,332,24,308
676,1765,0,0.0,174,0,0.0,1591,0,0.0,45,0.0,0.9,67,7,60
5000,3671,1723,0.1414071832946991,402,166,0.14459047752299012,3269,1557,0.14106779547074513,46,0.8,0.1,7046,714,6332
5000,2700,1749,0.1354083201224828,252,162,0.1322550797503918,2448,1587,0.13573020099222366,47,0.8,0.3,7861,775,7086
5000,3208,1896,0.12013985390317257,309,195,0.13199740891555703,2899,1701,0.1187805221998128,48,0.8,0.5,7287,703,6584
5000,10346,24,0.05915121995301927,1084,4,0.0671903454193444,9262,20,0.057543394859754224,49,0.8,0.7,191,10,181
400,1234,0,0.0,126,0,0.0,1108,0,0.0,50,0.8,0.9,17,0,17
5000,1899,2924,0.09999999999999994,182,291,0.10000000000000003,1717,2633,0.10000000000000002,51,0.0,0.1,8688,894,7794
5000,965,640,0.3000000000000004,92,64,0.3000000000000001,873,576,0.3000000000000004,52,0.0,0.3,9672,956,8716
5000,4354,846,0.5,419,103,0.5,3935,743,0.5,53,0.0,0.5,6086,618,5468
2539,5292,0,0.0,496,0,0.0,4796,0,0.0,54,0.0,0.7,279,23,256
829,2092,0,0.0,209,0,0.0,1883,0,0.0,55,0.0,0.9,67,6,61
5000,4355,1607,0.16031781360175038,435,137,0.14618709965517596,3920,1470,0.1616347576906488,56,0.8,0.1,6181,584,5597
5000,2203,1778,0.13520768962372623,215,155,0.1594020484462732,1988,1623,0.13289707618103072,57,0.8,0.3,8188,754,7434
5000,2767,1764,0.14176541788781927,248,171,0.15066501401679336,2519,1593,0.1408100940095678,58,0.8,0.5,7687,775,6912
5000,3644,1803,0.16388603422457923,364,173,0.17121859126924785,3280,1630,0.16310779350756838,59,0.8,0.7,6826,674,6152
1277,2997,0,0.0,295,0,0.0,2702,0,0.0,60,0.8,0.9,81,5,76
5000,2050,2936,0.09999999999999991,214,304,0.10000000000000009,1836,2632,0.10000000000000003,61,0.0,0.1,8348,878,7470
5000,836,725,0.3000000000000003,93,77,0.30000000000000004,743,648,0.30000000000000027,62,0.0,0.3,9645,968,8677
5000,1846,360,0.5,187,38,0.5,1659,322,0.5,63,0.0,0.5,8659,873,7786
5000,6876,59,0.7000000000000003,735,3,0.6999999999999998,6141,56,0.7000000000000002,64,0.0,0.7,3685,377,3308
632,1678,0,0.0,160,0,0.0,1518,0,0.0,65,0.0,0.9,30,0,30
5000,2133,1791,0.10793706425140855,186,181,0.10575894194944421,1947,1610,0.10818193390150516,66,0.8,0.1,8367,822,7545
5000,2869,1816,0.13375489768611812,292,185,0.1390815162832513,2577,1631,0.13315071347982158,67,0.8,0.3,7720,801,6919
1758,3952,0,0.0,423,0,0.0,3529,0,0.0,68,0.8,0.5,36,1,35
