step,susceptible_status,infected_status,filtermean_virulence,ensemble,mutation_rate,virulence_init,total_infected
385,1.0,0.0,NaN,477,0.4,1.3,28.0
413,1.0,0.0,NaN,478,0.4,1.4,16.0
20000,0.9004298384025247,0.09957016159747538,0.0584803704832827,479,0.4,1.5,25559.0
675,1.0,0.0,NaN,480,0.4,1.6,42.0
210,1.0,0.0,NaN,481,0.4,1.7,14.0
526,1.0,0.0,NaN,482,0.4,1.8,40.0
2110,1.0,0.0,NaN,483,0.4,1.9,95.0
20000,0.8999731831590239,0.10002681684097613,0.06228120163789172,484,0.4,2.0,25507.0
326,1.0,0.0,NaN,485,0.8,1.0,18.0
366,1.0,0.0,NaN,486,0.8,1.1,18.0
463,1.0,0.0,NaN,487,0.8,1.2,46.0
266,1.0,0.0,NaN,488,0.8,1.3,19.0
241,1.0,0.0,NaN,489,0.8,1.4,19.0
673,1.0,0.0,NaN,490,0.8,1.5,24.0
20000,0.8995707682148361,0.10042923178516398,0.06529922396367757,491,0.8,1.6,25622.0
268,1.0,0.0,NaN,492,0.8,1.7,26.0
273,1.0,0.0,NaN,493,0.8,1.8,17.0
20000,0.9188093405183474,0.08119065948165255,0.07097889541237747,494,0.8,1.9,24168.0
6654,1.0,0.0,NaN,495,0.8,2.0,82.0
974,1.0,0.0,NaN,496,0.0,1.0,50.0
642,1.0,0.0,NaN,497,0.0,1.1,32.0
423,1.0,0.0,NaN,498,0.0,1.2,23.0
1639,1.0,0.0,NaN,499,0.0,1.3,50.0
268,1.0,0.0,NaN,500,0.0,1.4,21.0
1464,1.0,0.0,NaN,501,0.0,1.5,124.0
206,1.0,0.0,NaN,502,0.0,1.6,21.0
271,1.0,0.0,NaN,503,0.0,1.7,14.0
436,1.0,0.0,NaN,504,0.0,1.8,24.0
855,1.0,0.0,NaN,505,0.0,1.9,47.0
549,1.0,0.0,NaN,506,0.0,2.0,36.0
832,1.0,0.0,NaN,507,0.4,1.0,29.0
339,1.0,0.0,NaN,508,0.4,1.1,17.0
426,1.0,0.0,NaN,509,0.4,1.2,21.0
1454,1.0,0.0,NaN,510,0.4,1.3,97.0
20000,0.8991139437276543,0.10088605627234572,0.05812169956140272,511,0.4,1.4,24568.0
194,1.0,0.0,NaN,512,0.4,1.5,15.0
20000,0.8962343981383541,0.10376560186164586,0.06356595814896432,513,0.4,1.6,25140.0
565,1.0,0.0,NaN,514,0.4,1.7,13.0
20000,0.9036351344323678,0.09636486556763223,0.06388940840416221,515,0.4,1.8,24505.0
640,1.0,0.0,NaN,516,0.4,1.9,40.0
745,1.0,0.0,NaN,517,0.4,2.0,31.0
20000,0.9219396195202647,0.07806038047973532,0.06445306188217108,518,0.8,1.0,24336.0
20000,0.9227277312619793,0.07727226873802077,0.06816265259680145,519,0.8,1.1,23549.0
1904,1.0,0.0,NaN,520,0.8,1.2,67.0
240,1.0,0.0,NaN,521,0.8,1.3,17.0
811,1.0,0.0,NaN,522,0.8,1.4,27.0
141,1.0,0.0,NaN,523,0.8,1.5,12.0
20000,0.9171511627906976,0.08284883720930232,0.07027286895519708,524,0.8,1.6,24453.0
1118,1.0,0.0,NaN,525,0.8,1.7,29.0
20000,0.9277869020734962,0.0722130979265038,0.06890682029110204,526,0.8,1.8,23747.0
20000,0.9254269544748835,0.07457304552511644,0.06462509011390863,527,0.8,1.9,23686.0
20000,0.9189695550351288,0.08103044496487119,0.06522176105939917,528,0.8,2.0,24131.0
541,1.0,0.0,NaN,529,0.0,1.0,23.0
304,1.0,0.0,NaN,530,0.0,1.1,17.0
1392,1.0,0.0,NaN,531,0.0,1.2,98.0
1176,1.0,0.0,NaN,532,0.0,1.3,32.0
541,1.0,0.0,NaN,533,0.0,1.4,35.0
945,1.0,0.0,NaN,534,0.0,1.5,55.0
745,1.0,0.0,NaN,535,0.0,1.6,43.0
364,1.0,0.0,NaN,536,0.0,1.7,20.0
916,1.0,0.0,NaN,537,0.0,1.8,51.0
320,1.0,0.0,NaN,538,0.0,1.9,19.0
429,1.0,0.0,NaN,539,0.0,2.0,29.0
313,1.0,0.0,NaN,540,0.4,1.0,21.0
702,1.0,0.0,NaN,541,0.4,1.1,42.0
1984,1.0,0.0,NaN,542,0.4,1.2,93.0
