step,susceptible_status,infected_status,filtermean_virulence,ensemble,mutation_rate,virulence_init,total_infected
981,1.0,0.0,NaN,1,0.0,1.0,52.0
334,1.0,0.0,NaN,2,0.0,1.1,14.0
381,1.0,0.0,NaN,3,0.0,1.2,31.0
551,1.0,0.0,NaN,4,0.0,1.3,22.0
843,1.0,0.0,NaN,5,0.0,1.4,41.0
161,1.0,0.0,NaN,6,0.0,1.5,10.0
926,1.0,0.0,NaN,7,0.0,1.6,63.0
820,1.0,0.0,NaN,8,0.0,1.7,36.0
384,1.0,0.0,NaN,9,0.0,1.8,16.0
459,1.0,0.0,NaN,10,0.0,1.9,16.0
204,1.0,0.0,NaN,11,0.0,2.0,14.0
20000,0.8999455040871934,0.10005449591280655,0.059061645543283955,12,0.4,1.0,24985.0
541,1.0,0.0,NaN,13,0.4,1.1,42.0
646,1.0,0.0,NaN,14,0.4,1.2,50.0
756,1.0,0.0,NaN,15,0.4,1.3,45.0
168,1.0,0.0,NaN,16,0.4,1.4,18.0
813,1.0,0.0,NaN,17,0.4,1.5,67.0
695,1.0,0.0,NaN,18,0.4,1.6,28.0
896,1.0,0.0,NaN,19,0.4,1.7,43.0
574,1.0,0.0,NaN,20,0.4,1.8,27.0
556,1.0,0.0,NaN,21,0.4,1.9,35.0
1204,1.0,0.0,NaN,22,0.4,2.0,47.0
283,1.0,0.0,NaN,23,0.8,1.0,17.0
20000,0.9206448583502895,0.07935514164971044,0.06724592592168968,24,0.8,1.1,24798.0
574,1.0,0.0,NaN,25,0.8,1.2,21.0
614,1.0,0.0,NaN,26,0.8,1.3,23.0
827,1.0,0.0,NaN,27,0.8,1.4,52.0
367,1.0,0.0,NaN,28,0.8,1.5,31.0
691,1.0,0.0,NaN,29,0.8,1.6,33.0
673,1.0,0.0,NaN,30,0.8,1.7,56.0
747,1.0,0.0,NaN,31,0.8,1.8,32.0
400,1.0,0.0,NaN,32,0.8,1.9,23.0
20000,0.9259541209906618,0.0740458790093382,0.0666698332006393,33,0.8,2.0,23772.0
311,1.0,0.0,NaN,34,0.0,1.0,18.0
309,1.0,0.0,NaN,35,0.0,1.1,24.0
504,1.0,0.0,NaN,36,0.0,1.2,25.0
393,1.0,0.0,NaN,37,0.0,1.3,22.0
1879,1.0,0.0,NaN,38,0.0,1.4,98.0
388,1.0,0.0,NaN,39,0.0,1.5,18.0
454,1.0,0.0,NaN,40,0.0,1.6,33.0
493,1.0,0.0,NaN,41,0.0,1.7,28.0
921,1.0,0.0,NaN,42,0.0,1.8,56.0
1015,1.0,0.0,NaN,43,0.0,1.9,71.0
1271,1.0,0.0,NaN,44,0.0,2.0,90.0
210,1.0,0.0,NaN,45,0.4,1.0,20.0
382,1.0,0.0,NaN,46,0.4,1.1,18.0
453,1.0,0.0,NaN,47,0.4,1.2,19.0
846,1.0,0.0,NaN,48,0.4,1.3,28.0
20000,0.8940629246367723,0.10593707536322776,0.0651006680473976,49,0.4,1.4,25371.0
1725,1.0,0.0,NaN,50,0.4,1.5,65.0
942,1.0,0.0,NaN,51,0.4,1.6,39.0
521,1.0,0.0,NaN,52,0.4,1.7,40.0
397,1.0,0.0,NaN,53,0.4,1.8,18.0
361,1.0,0.0,NaN,54,0.4,1.9,22.0
1798,1.0,0.0,NaN,55,0.4,2.0,88.0
20000,0.916167344318425,0.08383265568157501,0.06400813024208468,56,0.8,1.0,24931.0
20000,0.9179959100204499,0.0820040899795501,0.06607994115461016,57,0.8,1.1,24083.0
791,1.0,0.0,NaN,58,0.8,1.2,50.0
1049,1.0,0.0,NaN,59,0.8,1.3,38.0
20000,0.9199308755760369,0.08006912442396313,0.06681209784457544,60,0.8,1.4,24445.0
1413,1.0,0.0,NaN,61,0.8,1.5,88.0
20000,0.9220372593017795,0.07796274069822053,0.066577055067623,62,0.8,1.6,23996.0
438,1.0,0.0,NaN,63,0.8,1.7,16.0
20000,0.9286469078649424,0.07135309213505761,0.06658315048201084,64,0.8,1.8,23361.0
546,1.0,0.0,NaN,65,0.8,1.9,28.0
20000,0.9280714817572598,0.07192851824274013,0.06647143623349802,66,0.8,2.0,23565.0
634,1.0,0.0,NaN,67,0.0,1.0,21.0
637,1.0,0.0,NaN,68,0.0,1.1,44.0
583,1.0,0.0,NaN,69,0.0,1.2,29.0
1308,1.0,0.0,NaN,70,0.0,1.3,77.0
2025,1.0,0.0,NaN,71,0.0,1.4,82.0
480,1.0,0.0,NaN,72,0.0,1.5,28.0
335,1.0,0.0,NaN,73,0.0,1.6,18.0
424,1.0,0.0,NaN,74,0.0,1.7,25.0
361,1.0,0.0,NaN,75,0.0,1.8,17.0
558,1.0,0.0,NaN,76,0.0,1.9,28.0
981,1.0,0.0,NaN,77,0.0,2.0,73.0
1380,1.0,0.0,NaN,78,0.4,1.0,55.0
279,1.0,0.0,NaN,79,0.4,1.1,25.0
1295,1.0,0.0,NaN,80,0.4,1.2,46.0
20000,0.8965627498001598,0.10343725019984013,0.06145730435210406,81,0.4,1.3,25192.0
1254,1.0,0.0,NaN,82,0.4,1.4,50.0
320,1.0,0.0,NaN,83,0.4,1.5,19.0
1625,1.0,0.0,NaN,84,0.4,1.6,37.0
709,1.0,0.0,NaN,85,0.4,1.7,34.0
416,1.0,0.0,NaN,86,0.4,1.8,26.0
960,1.0,0.0,NaN,87,0.4,1.9,89.0
551,1.0,0.0,NaN,88,0.4,2.0,24.0
848,1.0,0.0,NaN,89,0.8,1.0,51.0
20000,0.9181993156544055,0.08180068434559452,0.06333343869785757,90,0.8,1.1,24663.0
217,1.0,0.0,NaN,91,0.8,1.2,16.0
736,1.0,0.0,NaN,92,0.8,1.3,28.0
148,1.0,0.0,NaN,93,0.8,1.4,13.0
20000,0.9014504160107938,0.09854958398920621,0.06268128688425915,94,0.8,1.5,25854.0
20000,0.9172736997605827,0.08272630023941725,0.06539757717144692,95,0.8,1.6,24048.0
317,1.0,0.0,NaN,96,0.8,1.7,22.0
20000,0.9177295918367347,0.08227040816326531,0.06816946511490753,97,0.8,1.8,24751.0
191,1.0,0.0,NaN,98,0.8,1.9,11.0
20000,0.9230887084418569,0.0769112915581431,0.07133191568692819,99,0.8,2.0,24098.0
884,1.0,0.0,NaN,100,0.0,1.0,32.0
470,1.0,0.0,NaN,101,0.0,1.1,35.0
487,1.0,0.0,NaN,102,0.0,1.2,32.0
2283,1.0,0.0,NaN,103,0.0,1.3,121.0
167,1.0,0.0,NaN,104,0.0,1.4,15.0
951,1.0,0.0,NaN,105,0.0,1.5,68.0
435,1.0,0.0,NaN,106,0.0,1.6,21.0
845,1.0,0.0,NaN,107,0.0,1.7,46.0
200,1.0,0.0,NaN,108,0.0,1.8,15.0
313,1.0,0.0,NaN,109,0.0,1.9,20.0
543,1.0,0.0,NaN,110,0.0,2.0,28.0
20000,0.8958237253394824,0.10417627466051756,0.06203389604784899,111,0.4,1.0,24985.0
20000,0.9032552153161366,0.09674478468386336,0.05973617437487249,112,0.4,1.1,25462.0
661,1.0,0.0,NaN,113,0.4,1.2,40.0
5435,1.0,0.0,NaN,114,0.4,1.3,100.0
20000,0.8927909317230786,0.10720906827692145,0.06123937281866607,115,0.4,1.4,25288.0
1647,1.0,0.0,NaN,116,0.4,1.5,55.0
20000,0.8925442132989303,0.10745578670106971,0.06250944416603821,117,0.4,1.6,25405.0
1291,1.0,0.0,NaN,118,0.4,1.7,36.0
20000,0.8945441035983441,0.10545589640165587,0.06015995626047957,119,0.4,1.8,25099.0
1408,1.0,0.0,NaN,120,0.4,1.9,61.0
794,1.0,0.0,NaN,121,0.4,2.0,32.0
659,1.0,0.0,NaN,122,0.8,1.0,18.0
20000,0.9177333670629901,0.08226663293700986,0.06934226127581589,123,0.8,1.1,24263.0
20000,0.912469206981498,0.08753079301850201,0.06374906801223419,124,0.8,1.2,24828.0
20000,0.929940931538685,0.070059068461315,0.06613171403390215,125,0.8,1.3,23057.0
20000,0.91572013899694,0.08427986100306001,0.06714034645948092,126,0.8,1.4,24122.0
1406,1.0,0.0,NaN,127,0.8,1.5,55.0
20000,0.9193564967105263,0.08064350328947369,0.06700825008525375,128,0.8,1.6,24124.0
546,1.0,0.0,NaN,129,0.8,1.7,29.0
20000,0.917638596310949,0.08236140368905102,0.06431975160150934,130,0.8,1.8,24363.0
2198,1.0,0.0,NaN,131,0.8,1.9,50.0
703,1.0,0.0,NaN,132,0.8,2.0,30.0
1058,1.0,0.0,NaN,133,0.0,1.0,69.0
294,1.0,0.0,NaN,134,0.0,1.1,22.0
301,1.0,0.0,NaN,135,0.0,1.2,15.0
1072,1.0,0.0,NaN,136,0.0,1.3,64.0
893,1.0,0.0,NaN,137,0.0,1.4,53.0
690,1.0,0.0,NaN,138,0.0,1.5,27.0
292,1.0,0.0,NaN,139,0.0,1.6,14.0
415,1.0,0.0,NaN,140,0.0,1.7,23.0
1255,1.0,0.0,NaN,141,0.0,1.8,67.0
405,1.0,0.0,NaN,142,0.0,1.9,18.0
1665,1.0,0.0,NaN,143,0.0,2.0,127.0
350,1.0,0.0,NaN,144,0.4,1.0,17.0
726,1.0,0.0,NaN,145,0.4,1.1,35.0
248,1.0,0.0,NaN,146,0.4,1.2,13.0
1162,1.0,0.0,NaN,147,0.4,1.3,33.0
263,1.0,0.0,NaN,148,0.4,1.4,21.0
552,1.0,0.0,NaN,149,0.4,1.5,16.0
256,1.0,0.0,NaN,150,0.4,1.6,13.0
555,1.0,0.0,NaN,151,0.4,1.7,30.0
736,1.0,0.0,NaN,152,0.4,1.8,37.0
1086,1.0,0.0,NaN,153,0.4,1.9,86.0
799,1.0,0.0,NaN,154,0.4,2.0,41.0
275,1.0,0.0,NaN,155,0.8,1.0,19.0
346,1.0,0.0,NaN,156,0.8,1.1,13.0
679,1.0,0.0,NaN,157,0.8,1.2,36.0
20000,0.9135235539961818,0.08647644600381817,0.06584538549875675,158,0.8,1.3,24406.0
20000,0.9228500465693884,0.07714995343061161,0.0655203690962406,159,0.8,1.4,24089.0
560,1.0,0.0,NaN,160,0.8,1.5,24.0
282,1.0,0.0,NaN,161,0.8,1.6,20.0
20000,0.9239616945976892,0.07603830540231081,0.062366943416813925,162,0.8,1.7,24065.0
675,1.0,0.0,NaN,163,0.8,1.8,34.0
