step,susceptible_status,infected_status,filtermean_virulence,ensemble,mutation_rate,virulence_init,total_infected
20000,0.9395305456241256,0.0604694543758744,0.10000000000000006,1,0.0,0.1,23977.0
20000,0.9672784931770133,0.03272150682298674,0.19999999999999993,2,0.0,0.2,21926.0
20000,0.9862854858056778,0.01371451419432227,0.2999999999999999,3,0.0,0.3,17281.0
20000,0.988930858925932,0.01106914107406799,0.4000000000000003,4,0.0,0.4,12068.0
20000,0.9965404453390364,0.0034595546609636433,0.5,5,0.0,0.5,10532.0
3143,1.0,0.0,NaN,6,0.0,0.6,207.0
472,1.0,0.0,NaN,7,0.0,0.7,24.0
1048,1.0,0.0,NaN,8,0.0,0.8,97.0
865,1.0,0.0,NaN,9,0.0,0.9,28.0
20000,0.8908501249401882,0.10914987505981179,0.061702459634890135,10,0.4,0.1,25142.0
20000,0.8934331797235023,0.10656682027649769,0.06222694849399098,11,0.4,0.2,24996.0
20000,0.8939354161197165,0.10606458388028354,0.06233246838750723,12,0.4,0.3,25171.0
435,1.0,0.0,NaN,13,0.4,0.4,14.0
20000,0.8911797191395361,0.1088202808604639,0.0642131549738143,14,0.4,0.5,25027.0
20000,0.8951502372166579,0.10484976278334211,0.06260331502787689,15,0.4,0.6,24636.0
20000,0.8954580846093952,0.10454191539060473,0.061871363927129434,16,0.4,0.7,25058.0
568,1.0,0.0,NaN,17,0.4,0.8,34.0
20000,0.9012411159435664,0.09875888405643365,0.05824185372437878,18,0.4,0.9,25172.0
20000,0.9141996989463121,0.08580030105368791,0.07674919522544757,19,0.8,0.1,23811.0
20000,0.9233879017768017,0.07661209822319824,0.06710723665409461,20,0.8,0.2,23516.0
20000,0.9200250901677905,0.0799749098322095,0.06503913449461768,21,0.8,0.3,24533.0
20000,0.9213448646435699,0.07865513535643007,0.06678031750149564,22,0.8,0.4,23985.0
20000,0.9149261334691798,0.08507386653082018,0.06710496860543583,23,0.8,0.5,24291.0
20000,0.9170475794722627,0.08295242052773738,0.0675212280352386,24,0.8,0.6,23935.0
1953,1.0,0.0,NaN,25,0.8,0.7,87.0
20000,0.9191135168258183,0.08088648317418169,0.07159656830404067,26,0.8,0.8,23848.0
20000,0.9158643998361328,0.08413560016386727,0.06664900883859076,27,0.8,0.9,23973.0
20000,0.9488978997712623,0.05110210022873778,0.09999999999999988,28,0.0,0.1,23900.0
20000,0.9669321971100407,0.033067802889959245,0.1999999999999999,29,0.0,0.2,20878.0
20000,0.9823840957936751,0.017615904206324837,0.30000000000000016,30,0.0,0.3,16350.0
15462,1.0,0.0,NaN,31,0.0,0.4,7891.0
15474,1.0,0.0,NaN,32,0.0,0.5,7686.0
20000,0.9981563015960374,0.0018436984039625756,0.6,33,0.0,0.6,5797.0
974,1.0,0.0,NaN,34,0.0,0.7,46.0
1399,1.0,0.0,NaN,35,0.0,0.8,60.0
216,1.0,0.0,NaN,36,0.0,0.9,14.0
20000,0.9009032527541377,0.09909674724586227,0.0570366792188632,37,0.4,0.1,24773.0
20000,0.8929726234102178,0.10702737658978229,0.062353048234758776,38,0.4,0.2,25204.0
20000,0.8973756978139511,0.10262430218604894,0.06063255325427198,39,0.4,0.3,24768.0
20000,0.8969000903918753,0.10309990960812464,0.06332949447623376,40,0.4,0.4,25232.0
20000,0.8907820933432109,0.10921790665678908,0.062635536561857,41,0.4,0.5,25077.0
499,1.0,0.0,NaN,42,0.4,0.6,19.0
20000,0.9002381582429214,0.0997618417570786,0.05993932523590502,43,0.4,0.7,25329.0
20000,0.8831820101351351,0.11681798986486487,0.06122805585413984,44,0.4,0.8,25119.0
565,1.0,0.0,NaN,45,0.4,0.9,28.0
20000,0.9135917312661499,0.08640826873385013,0.06667104821983276,46,0.8,0.1,24580.0
20000,0.9316899316899316,0.0683100683100683,0.06606315926765542,47,0.8,0.2,23342.0
20000,0.9231681534574331,0.0768318465425669,0.06420685374209747,48,0.8,0.3,24199.0
20000,0.9188428059395801,0.08115719406041987,0.06617504756972639,49,0.8,0.4,24237.0
20000,0.905837330889883,0.09416266911011696,0.06685188418818926,50,0.8,0.5,25291.0
341,1.0,0.0,NaN,51,0.8,0.6,17.0
20000,0.9234098228663447,0.07659017713365539,0.07229666798714927,52,0.8,0.7,23541.0
625,1.0,0.0,NaN,53,0.8,0.8,34.0
1813,1.0,0.0,NaN,54,0.8,0.9,62.0
20000,0.9397224404294318,0.06027755957056821,0.10000000000000009,55,0.0,0.1,24120.0
20000,0.9736385233918129,0.026361476608187134,0.20000000000000018,56,0.0,0.2,20814.0
20000,0.9779260564857947,0.02207394351420538,0.30000000000000027,57,0.0,0.3,18271.0
20000,0.9892718847203708,0.010728115279629276,0.40000000000000013,58,0.0,0.4,10865.0
862,1.0,0.0,NaN,59,0.0,0.5,38.0
20000,0.9980957418672309,0.0019042581327691087,0.6000000000000001,60,0.0,0.6,4146.0
872,1.0,0.0,NaN,61,0.0,0.7,35.0
1813,1.0,0.0,NaN,62,0.0,0.8,97.0
1285,1.0,0.0,NaN,63,0.0,0.9,98.0
20000,0.8978105880568337,0.1021894119431663,0.059808863391071256,64,0.4,0.1,24179.0
20000,0.892449989244999,0.10755001075500108,0.05906332381566562,65,0.4,0.2,25423.0
20000,0.8819091528265312,0.11809084717346885,0.06047014186037494,66,0.4,0.3,25186.0
20000,0.8930978630022467,0.10690213699775328,0.06506748841655113,67,0.4,0.4,24983.0
20000,0.9031058503116325,0.09689414968836746,0.06347581576324651,68,0.4,0.5,25010.0
20000,0.9052573630608313,0.09474263693916873,0.0548333096686829,69,0.4,0.6,25251.0
769,1.0,0.0,NaN,70,0.4,0.7,17.0
417,1.0,0.0,NaN,71,0.4,0.8,24.0
577,1.0,0.0,NaN,72,0.4,0.9,36.0
20000,0.9226519337016574,0.07734806629834254,0.06502093792812381,73,0.8,0.1,23825.0
20000,0.9257700976709241,0.07422990232907588,0.06869205900669288,74,0.8,0.2,23538.0
20000,0.916120644825793,0.08387935517420697,0.06494953010671692,75,0.8,0.3,24269.0
20000,0.9180464873335075,0.08195351266649256,0.06704280186078534,76,0.8,0.4,24560.0
20000,0.9155424324186733,0.08445756758132668,0.06948975814363001,77,0.8,0.5,23902.0
20000,0.9145715618682287,0.0854284381317713,0.07052821628831953,78,0.8,0.6,23983.0
20000,0.9252773212818406,0.07472267871815941,0.06667948406389954,79,0.8,0.7,23802.0
20000,0.9229138661979113,0.07708613380208872,0.06934821770838986,80,0.8,0.8,24082.0
1146,1.0,0.0,NaN,81,0.8,0.9,53.0
20000,0.9354583772391991,0.06454162276080085,0.10000000000000005,82,0.0,0.1,24174.0
20000,0.9779102727006158,0.022089727299384226,0.20000000000000007,83,0.0,0.2,21855.0
20000,0.9824901936997048,0.0175098063002952,0.3,84,0.0,0.3,17758.0
20000,0.9933702784483052,0.006629721551694829,0.4,85,0.0,0.4,12235.0
16493,1.0,0.0,NaN,86,0.0,0.5,7521.0
10326,1.0,0.0,NaN,87,0.0,0.6,2266.0
5000,1.0,0.0,NaN,88,0.0,0.7,481.0
486,1.0,0.0,NaN,89,0.0,0.8,28.0
231,1.0,0.0,NaN,90,0.0,0.9,15.0
20000,0.8933799784714747,0.1066200215285253,0.06194393000193015,91,0.4,0.1,25533.0
20000,0.9002912722355144,0.0997087277644856,0.06145834080655733,92,0.4,0.2,24977.0
20000,0.882717046127348,0.11728295387265192,0.06458094487496503,93,0.4,0.3,25509.0
20000,0.8902368268368585,0.10976317316314152,0.06227609149206435,94,0.4,0.4,25073.0
20000,0.8958028051078083,0.10419719489219176,0.06127130282443242,95,0.4,0.5,25148.0
20000,0.89241481953968,0.10758518046031999,0.06307926321077614,96,0.4,0.6,25037.0
20000,0.9057392224279291,0.09426077757207088,0.059433883643358006,97,0.4,0.7,24691.0
2127,1.0,0.0,NaN,98,0.4,0.8,83.0
20000,0.9045109612141653,0.09548903878583474,0.06103705785069604,99,0.4,0.9,24783.0
20000,0.9226733228057664,0.07732667719423361,0.07354967865554074,100,0.8,0.1,23795.0
20000,0.9112571898110107,0.08874281018898932,0.07027763609409018,101,0.8,0.2,24130.0
20000,0.9107689062335197,0.08923109376648033,0.0727903225109365,102,0.8,0.3,24751.0
20000,0.9184544886481983,0.08154551135180171,0.06691373853950686,103,0.8,0.4,24283.0
20000,0.9126304801670146,0.08736951983298538,0.0679594385949446,104,0.8,0.5,24609.0
20000,0.918042844726213,0.081957155273787,0.06822207309130801,105,0.8,0.6,24182.0
20000,0.9154051647373108,0.08459483526268922,0.06972886910792643,106,0.8,0.7,24620.0
20000,0.9050781037391825,0.0949218962608175,0.06449738187671637,107,0.8,0.8,25440.0
720,1.0,0.0,NaN,108,0.8,0.9,20.0
20000,0.9305585163078235,0.06944148369217651,0.09999999999999996,109,0.0,0.1,24205.0
20000,0.9672581119498088,0.03274188805019116,0.1999999999999999,110,0.0,0.2,22065.0
638,1.0,0.0,NaN,111,0.0,0.3,17.0
20000,0.9968282287640003,0.0031717712359996034,0.39999999999999974,112,0.0,0.4,12059.0
20000,0.9979737162044809,0.002026283795519018,0.5,113,0.0,0.5,7655.0
6197,1.0,0.0,NaN,114,0.0,0.6,522.0
6861,1.0,0.0,NaN,115,0.0,0.7,924.0
1143,1.0,0.0,NaN,116,0.0,0.8,83.0
442,1.0,0.0,NaN,117,0.0,0.9,40.0
20000,0.8975449038154958,0.1024550961845042,0.06055410244482417,118,0.4,0.1,25314.0
20000,0.8934720229555236,0.10652797704447632,0.06643451144102278,119,0.4,0.2,24292.0
20000,0.8980131050517861,0.1019868949482139,0.06118069573265471,120,0.4,0.3,25205.0
20000,0.9007080955400549,0.09929190445994504,0.062407379916046064,121,0.4,0.4,24840.0
20000,0.8978614912326344,0.10213850876736563,0.06172218778935579,122,0.4,0.5,24670.0
20000,0.8960172228202368,0.10398277717976319,0.06015277257374863,123,0.4,0.6,25460.0
20000,0.8927764644076701,0.10722353559232992,0.06477829087813021,124,0.4,0.7,25178.0
709,1.0,0.0,NaN,125,0.4,0.8,40.0
20000,0.9018914429620104,0.09810855703798961,0.06318744409753159,126,0.4,0.9,25212.0
20000,0.9203351025080654,0.07966489749193464,0.07126721793092694,127,0.8,0.1,24459.0
20000,0.9223443594549415,0.07765564054505851,0.07174628955390173,128,0.8,0.2,23737.0
20000,0.9178467358519503,0.08215326414804969,0.07031949339280778,129,0.8,0.3,24098.0
20000,0.9188703465982028,0.08112965340179717,0.06893027868342612,130,0.8,0.4,24012.0
20000,0.9205935954178599,0.07940640458214007,0.06459170698143017,131,0.8,0.5,24429.0
20000,0.9125836611658917,0.08741633883410821,0.07150481000513133,132,0.8,0.6,24346.0
20000,0.9063731763501408,0.09362682364985923,0.07388558913567718,133,0.8,0.7,24332.0
1656,1.0,0.0,NaN,134,0.8,0.8,85.0
20000,0.9130479469654145,0.08695205303458554,0.0669527644174249,135,0.8,0.9,24005.0
20000,0.9486028961860086,0.051397103813991436,0.09999999999999983,136,0.0,0.1,23568.0
20000,0.9674359932722856,0.032564006727714444,0.19999999999999993,137,0.0,0.2,21330.0
20000,0.9825512658485874,0.017448734151412612,0.2999999999999999,138,0.0,0.3,17752.0
20000,0.993853363670323,0.0061466363296770465,0.4,139,0.0,0.4,12872.0
10253,1.0,0.0,NaN,140,0.0,0.5,5537.0
16924,1.0,0.0,NaN,141,0.0,0.6,3682.0
1832,1.0,0.0,NaN,142,0.0,0.7,104.0
1006,1.0,0.0,NaN,143,0.0,0.8,36.0
3187,1.0,0.0,NaN,144,0.0,0.9,236.0
20000,0.9073115161557581,0.09268848384424193,0.06201117443898859,145,0.4,0.1,24688.0
